mask_threshold,use_objectness_filter,objectness_threshold,weight_by_objectness,cases,positive_cases,kept_prompts,min_prompts_per_case,dice,precision,recall,lesion_recall,hit_lesions,total_gt_lesions,pred_components_per_case,fp_components_per_case,component_precision,selection_score
0.6,True,0.1,False,296,85,458,1,0.4595123824150509,0.34033669673206113,0.7071270184414122,0.8620689655172413,75.0,87.0,1.7297297297297298,1.4695945945945945,0.150390625,0.8593794935534365
0.55,True,0.1,False,296,85,458,1,0.45799070633012146,0.33802870509347444,0.709938760331153,0.8620689655172413,75.0,87.0,1.7432432432432432,1.4831081081081081,0.14922480620155038,0.8579179934511231
0.5,True,0.1,False,296,85,458,1,0.45656056004346396,0.3358673467716308,0.7126497104844259,0.8620689655172413,75.0,87.0,1.760135135135135,1.5,0.14779270633397312,0.8562091055281074
0.45,True,0.1,False,296,85,458,1,0.45498662421790365,0.33359647786181834,0.7152563933241115,0.8620689655172413,75.0,87.0,1.787162162162162,1.527027027027027,0.14555765595463138,0.8536534594095551
0.4,True,0.1,False,296,85,458,1,0.45344422743531787,0.3313194090350801,0.7181585002189613,0.8620689655172413,75.0,87.0,1.804054054054054,1.5405405405405406,0.14606741573033707,0.8521867791328276
0.35,True,0.1,False,296,85,458,1,0.45180137803677667,0.3289576746590221,0.7210745094222896,0.8620689655172413,75.0,87.0,1.8175675675675675,1.554054054054054,0.1449814126394052,0.8506949857021112
0.6,True,0.3,False,296,85,377,1,0.4734287828425788,0.3575399866592867,0.7004712882574151,0.8390804597701149,73.0,87.0,1.5912162162162162,1.3412162162162162,0.15711252653927812,0.8283012777236922
0.55,True,0.3,False,296,85,377,1,0.47203311449062213,0.35522155926181437,0.7033108347641126,0.8390804597701149,73.0,87.0,1.6013513513513513,1.3513513513513513,0.15611814345991562,0.8271415498248922
0.5,True,0.3,False,296,85,377,1,0.47071718478987534,0.35305486468495434,0.7060078826089072,0.8390804597701149,73.0,87.0,1.6182432432432432,1.3682432432432432,0.1544885177453027,0.8254612160483542
0.6,True,0.2,False,296,85,400,1,0.4680895797569896,0.35056582225913624,0.7041484488499316,0.8390804597701149,73.0,87.0,1.6182432432432432,1.364864864864865,0.15657620041753653,0.825074585060403
0.45,True,0.3,False,296,85,377,1,0.46924527715670855,0.35075236668220655,0.7086423700655494,0.8390804597701149,73.0,87.0,1.625,1.375,0.15384615384615385,0.824552698599522
0.55,True,0.2,False,296,85,400,1,0.4666369193392423,0.348255759204883,0.706946288431194,0.8390804597701149,73.0,87.0,1.6317567567567568,1.3783783783783783,0.15527950310559005,0.8236303388748851
0.4,True,0.3,False,296,85,377,1,0.4678198873438982,0.3484633400736671,0.7115375258061601,0.8390804597701149,73.0,87.0,1.6418918918918919,1.3885135135135136,0.15432098765432098,0.8231152700652383
0.6,True,0.15,False,296,85,416,1,0.4661352840366677,0.34834659313607513,0.704277045203356,0.8390804597701149,73.0,87.0,1.6385135135135136,1.385135135135135,0.15463917525773196,0.8229643895087009
